,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,feesUSD,high,liquidity,low,open,periodStartUnix,sqrtPrice,tick,token0Price,token1Price,tvlUSD,txCount,volumeToken0,volumeToken1,volumeUSD,pool.token0.symbol,pool.token1.symbol
0,2216.306267410391837112346737388033,894428956562884715070851895944071,358286707906318006638723640353639067903496,0,2216.306267410391837112346737388033,17758984097793142685,2213.560299325294444354815279758329,2213.560299325294444354815279758329,1627376400,1682924746153310698010032826405131,199284,2216.306267410391837112346737388033,0.0004512011786026460391748754724793668,282326301.3313681056108189699064874,22,0,0,0,USDC,WETH
1,2213.560299325294444354815279758329,894411340804997407576991118286567,358286707906318006638723640353639067903496,0,2213.560299325294444354815279758329,17730239563056539269,2198.463013631998224592127699007354,2198.463013631998224592127699007354,1627372800,1683968274387083196451198826429933,199296,2213.560299325294444354815279758329,0.000451760903149918974955656984866142,281577441.5328952114014340319796784,27,0,0,0,USDC,WETH
2,2198.458612394144862176881670363952,894239834402853673609083771326339,358286707906318006638723640353639067903496,0,2199.927213509601275585905116795904,17711472118694630965,2194.557014056946194963515740988562,2194.557014056946194963515740988562,1627369200,1689742146714452579777113987960245,199365,2198.458612394144862176881670363952,0.0004548641463443286480800529396210361,279415729.6393010960709215398716887,27,0,0,0,USDC,WETH
3,2194.557014056946194963515740988562,894166825151573468166056858079968,358269746378950127730916820654287235832957,0,2203.728874956659616051121348079394,23523983651885383978,2194.557014056946194963515740988562,2198.913551975360487383662138029317,1627365600,1691243535719139950094173093426855,199382,2194.557014056946194963515740988562,0.0004556728276342931987812830805237449,278794635.2499474125199113797930931,48,0,0,0,USDC,WETH
4,2197.675534330959960927451102400997,894100763394189978814184266018763,358224214665236859594628220004837212753980,0,2197.675534330959960927451102400997,17624796427321313949,2185.756760196400826872923430983632,2185.757902726069971197847586310814,1627362000,1690043165253552739070378807287784,199368,2197.675534330959960927451102400997,0.0004550262240164723691548102260840741,278255954.5845279214982082863389002,39,0,0,0,USDC,WETH
5,2185.757902726069971197847586310814,893970402805526968727280747881070,358224208941230380174659157002210305195616,0,2192.493624510300534030468625258238,23766344728402457770,2175.300937044278826635359447707904,2176.914647229630483724239401063699,1627358400,1694644299664035569874864472612130,199423,2185.757902726069971197847586310814,0.0004575072100861688904235871539782729,279520215.643313914551432408484196,55,0,0,0,USDC,WETH
6,2177.559066947572889810420850652965,893757705165934189328671127165453,358168000323952739061908896937086520417194,0,2177.559066947572889810420850652965,17841150266875762098,2160.835956414211553954097061813616,2166.698273616334315989315331131527,1627354800,1697831597023408322341414470576465,199460,2177.559066947572889810420850652965,0.0004592297932022415679301302573936293,278764380.7058244531244406649785529,67,0,0,0,USDC,WETH
7,2168.092018083946358556040487244076,893573777207954104827264795890645,358131062566777849951719575537733278647900,0,2177.285041762446797260646531794754,17927052574250136728,2165.860081607854746020264719661925,2168.490569197142659808478209353307,1627351200,1701534379570756166723825875778296,199504,2168.092018083946358556040487244076,0.0004612350359943444975543517344772762,278443731.2500083388296421499686586,64,0,0,0,USDC,WETH
8,2168.490569197142659808478209353307,893452641832779049258206857308019,358073212978397152260217615664801146256381,0,2227.303545902024303841042952186119,17670585620236360193,2168.490569197142659808478209353307,2227.303545902024303841042952186119,1627347600,1701378008223522232769296874865692,199502,2168.490569197142659808478209353307,0.0004611502647070482187761217410469188,278099562.7186906892041104713113053,130,0,0,0,USDC,WETH
9,2227.303545902024303841042952186119,893353637747518692106642557099046,357735476808436192871734377150890818340903,0,2232.893082859134123292336573748379,17493047839891209944,2219.242202674571620089516864354917,2230.910643643679324007196779428706,1627344000,1678764896912595866703123654292904,199234,2227.303545902024303841042952186119,0.0004489733794209962971098379745328805,288768608.6540889343531833412593211,59,0,0,0,USDC,WETH
